lambda      alk
9.22534e+00 8.36696e-01
9.23661e+00 8.42216e-01
9.24789e+00 8.47669e-01
9.25919e+00 8.53048e-01
9.27050e+00 8.58344e-01
9.28182e+00 8.63548e-01
9.29316e+00 8.68652e-01
9.30451e+00 8.73647e-01
9.31588e+00 8.78525e-01
9.32726e+00 8.83276e-01
9.33865e+00 8.87893e-01
9.35006e+00 8.92372e-01
9.36148e+00 8.96715e-01
9.37291e+00 9.00921e-01
9.38436e+00 9.04991e-01
9.39582e+00 9.08925e-01
9.40730e+00 9.12724e-01
9.41879e+00 9.16388e-01
9.43030e+00 9.19918e-01
9.44182e+00 9.23313e-01
9.45335e+00 9.26574e-01
9.46490e+00 9.29702e-01
9.47646e+00 9.32697e-01
9.48803e+00 9.35559e-01
9.49962e+00 9.38289e-01
9.51123e+00 9.40888e-01
9.52284e+00 9.43355e-01
9.53447e+00 9.45691e-01
9.54612e+00 9.47896e-01
9.55778e+00 9.49972e-01
9.56946e+00 9.51918e-01
9.58114e+00 9.53734e-01
9.59285e+00 9.55422e-01
9.60457e+00 9.56982e-01
9.61630e+00 9.58414e-01
9.62804e+00 9.59719e-01
9.63980e+00 9.60897e-01
9.65158e+00 9.61948e-01
9.66337e+00 9.62874e-01
9.67517e+00 9.63674e-01
9.68699e+00 9.64350e-01
9.69882e+00 9.64901e-01
9.71067e+00 9.65328e-01
9.72253e+00 9.65632e-01
9.73441e+00 9.65813e-01
9.74630e+00 9.65872e-01
9.75820e+00 9.65810e-01
9.77012e+00 9.65626e-01
9.78205e+00 9.65321e-01
9.79400e+00 9.64896e-01
9.80597e+00 9.64352e-01
9.81794e+00 9.63689e-01
9.82994e+00 9.62908e-01
9.84194e+00 9.62008e-01
9.85396e+00 9.60992e-01
9.86600e+00 9.59859e-01
9.87805e+00 9.58609e-01
9.89012e+00 9.57245e-01
9.90220e+00 9.55765e-01
9.91429e+00 9.54172e-01
9.92640e+00 9.52464e-01
9.93853e+00 9.50644e-01
9.95067e+00 9.48712e-01
9.96282e+00 9.46668e-01
9.97499e+00 9.44512e-01
9.98718e+00 9.42247e-01
9.99938e+00 9.39872e-01
1.00116e+01 9.37389e-01
1.00238e+01 9.34803e-01
1.00361e+01 9.32119e-01
1.00483e+01 9.29342e-01
1.00606e+01 9.26477e-01
1.00729e+01 9.23528e-01
1.00852e+01 9.20501e-01
1.00975e+01 9.17401e-01
1.01098e+01 9.14232e-01
1.01222e+01 9.11000e-01
1.01346e+01 9.07709e-01
1.01469e+01 9.04366e-01
1.01593e+01 9.00976e-01
1.01717e+01 8.97542e-01
1.01842e+01 8.94072e-01
1.01966e+01 8.90569e-01
1.02091e+01 8.87041e-01
1.02215e+01 8.83491e-01
1.02340e+01 8.79925e-01
1.02465e+01 8.76350e-01
1.02590e+01 8.72770e-01
1.02716e+01 8.69190e-01
1.02841e+01 8.65618e-01
1.02967e+01 8.62057e-01
1.03092e+01 8.58514e-01
1.03218e+01 8.54989e-01
1.03344e+01 8.51482e-01
1.03471e+01 8.47993e-01
1.03597e+01 8.44522e-01
1.03724e+01 8.41068e-01
1.03850e+01 8.37631e-01
1.03977e+01 8.34212e-01
1.04104e+01 8.30808e-01
1.04231e+01 8.27422e-01
1.04359e+01 8.24051e-01
1.04486e+01 8.20697e-01
1.04614e+01 8.17359e-01
1.04742e+01 8.14036e-01
1.04869e+01 8.10728e-01
1.04998e+01 8.07435e-01
1.05126e+01 8.04157e-01
1.05254e+01 8.00894e-01
1.05383e+01 7.97645e-01
1.05511e+01 7.94411e-01
1.05640e+01 7.91190e-01
1.05769e+01 7.87982e-01
1.05899e+01 7.84788e-01
1.06028e+01 7.81607e-01
1.06157e+01 7.78438e-01
1.06287e+01 7.75282e-01
1.06417e+01 7.72137e-01
1.06547e+01 7.69002e-01
1.06677e+01 7.65877e-01
1.06807e+01 7.62760e-01
1.06938e+01 7.59652e-01
1.07068e+01 7.56552e-01
1.07199e+01 7.53458e-01
1.07330e+01 7.50369e-01
1.07461e+01 7.47286e-01
1.07593e+01 7.44207e-01
1.07724e+01 7.41131e-01
1.07856e+01 7.38058e-01
1.07987e+01 7.34987e-01
1.08119e+01 7.31917e-01
1.08251e+01 7.28846e-01
1.08383e+01 7.25775e-01
1.08516e+01 7.22703e-01
1.08648e+01 7.19628e-01
1.08781e+01 7.16550e-01
1.08914e+01 7.13467e-01
1.09047e+01 7.10380e-01
1.09180e+01 7.07287e-01
1.09314e+01 7.04187e-01
1.09447e+01 7.01079e-01
1.09581e+01 6.97963e-01
1.09715e+01 6.94838e-01
1.09849e+01 6.91702e-01
1.09983e+01 6.88554e-01
1.10117e+01 6.85394e-01
1.10252e+01 6.82221e-01
1.10386e+01 6.79032e-01
1.10521e+01 6.75828e-01
1.10656e+01 6.72607e-01
1.10791e+01 6.69368e-01
1.10927e+01 6.66109e-01
1.11062e+01 6.62831e-01
1.11198e+01 6.59531e-01
1.11334e+01 6.56208e-01
1.11470e+01 6.52862e-01
1.11606e+01 6.49491e-01
1.11742e+01 6.46094e-01
1.11879e+01 6.42669e-01
1.12015e+01 6.39217e-01
1.12152e+01 6.35735e-01
1.12289e+01 6.32222e-01
1.12426e+01 6.28677e-01
1.12564e+01 6.25098e-01
1.12701e+01 6.21486e-01
1.12839e+01 6.17844e-01
1.12977e+01 6.14188e-01
1.13115e+01 6.10532e-01
1.13253e+01 6.06892e-01
1.13391e+01 6.03285e-01
1.13530e+01 5.99725e-01
1.13668e+01 5.96230e-01
1.13807e+01 5.92815e-01
1.13946e+01 5.89495e-01
1.14085e+01 5.86267e-01
1.14225e+01 5.83116e-01
1.14364e+01 5.80022e-01
1.14504e+01 5.76968e-01
1.14644e+01 5.73942e-01
1.14784e+01 5.70943e-01
1.14924e+01 5.67971e-01
1.15064e+01 5.65026e-01
1.15205e+01 5.62109e-01
1.15346e+01 5.59219e-01
1.15487e+01 5.56357e-01
1.15628e+01 5.53524e-01
1.15769e+01 5.50719e-01
1.15910e+01 5.47941e-01
1.16052e+01 5.45189e-01
1.16194e+01 5.42461e-01
1.16335e+01 5.39755e-01
1.16478e+01 5.37069e-01
1.16620e+01 5.34401e-01
1.16762e+01 5.31750e-01
1.16905e+01 5.29114e-01
1.17048e+01 5.26490e-01
1.17191e+01 5.23877e-01
1.17334e+01 5.21273e-01
1.17477e+01 5.18676e-01
1.17621e+01 5.16084e-01
1.17764e+01 5.13495e-01
1.17908e+01 5.10907e-01
1.18052e+01 5.08319e-01
1.18196e+01 5.05727e-01
1.18341e+01 5.03131e-01
1.18485e+01 5.00527e-01
1.18630e+01 4.97915e-01
1.18775e+01 4.95291e-01
1.18920e+01 4.92657e-01
1.19065e+01 4.90012e-01
1.19211e+01 4.87361e-01
1.19356e+01 4.84704e-01
1.19502e+01 4.82043e-01
1.19648e+01 4.79380e-01
1.19794e+01 4.76717e-01
1.19941e+01 4.74056e-01
1.20087e+01 4.71399e-01
1.20234e+01 4.68748e-01
1.20381e+01 4.66104e-01
1.20528e+01 4.63471e-01
1.20675e+01 4.60849e-01
1.20822e+01 4.58241e-01
1.20970e+01 4.55649e-01
1.21118e+01 4.53074e-01
1.21266e+01 4.50520e-01
1.21414e+01 4.47988e-01
1.21562e+01 4.45479e-01
1.21710e+01 4.42997e-01
1.21859e+01 4.40544e-01
1.22008e+01 4.38120e-01
1.22157e+01 4.35730e-01
1.22306e+01 4.33374e-01
1.22456e+01 4.31054e-01
1.22605e+01 4.28774e-01
1.22755e+01 4.26536e-01
1.22905e+01 4.24341e-01
1.23055e+01 4.22191e-01
1.23205e+01 4.20090e-01
1.23356e+01 4.18039e-01
1.23507e+01 4.16041e-01
1.23657e+01 4.14097e-01
1.23808e+01 4.12211e-01
1.23960e+01 4.10384e-01
1.24111e+01 4.08619e-01
1.24263e+01 4.06918e-01
1.24414e+01 4.05284e-01
1.24566e+01 4.03720e-01
1.24719e+01 4.02226e-01
1.24871e+01 4.00806e-01
1.25023e+01 3.99463e-01
1.25176e+01 3.98199e-01
1.25329e+01 3.97015e-01
1.25482e+01 3.95915e-01
1.25635e+01 3.94896e-01
1.25789e+01 3.93953e-01
1.25943e+01 3.93083e-01
1.26096e+01 3.92280e-01
1.26250e+01 3.91541e-01
1.26405e+01 3.90862e-01
1.26559e+01 3.90237e-01
1.26714e+01 3.89662e-01
1.26868e+01 3.89133e-01
1.27023e+01 3.88646e-01
1.27178e+01 3.88195e-01
1.27334e+01 3.87776e-01
1.27489e+01 3.87385e-01
1.27645e+01 3.87017e-01
1.27801e+01 3.86667e-01
1.27957e+01 3.86330e-01
1.28113e+01 3.86151e-01
1.28270e+01 3.86009e-01
1.28427e+01 3.85841e-01
1.28583e+01 3.85645e-01
1.28740e+01 3.85419e-01
1.28898e+01 3.85164e-01
1.29055e+01 3.84879e-01
1.29213e+01 3.84565e-01
1.29371e+01 3.84225e-01
1.29529e+01 3.83859e-01
1.29687e+01 3.83471e-01
1.29845e+01 3.83065e-01
1.30004e+01 3.82646e-01
1.30163e+01 3.82218e-01
1.30322e+01 3.81787e-01
1.30481e+01 3.81360e-01
1.30640e+01 3.80946e-01
1.30800e+01 3.80551e-01
1.30960e+01 3.80186e-01
1.31120e+01 3.79859e-01
1.31280e+01 3.79582e-01
1.31440e+01 3.79367e-01
1.31601e+01 3.79225e-01
1.31761e+01 3.79170e-01
1.31922e+01 3.79216e-01
1.32083e+01 3.79103e-01
1.32245e+01 3.78771e-01
1.32406e+01 3.78445e-01
1.32568e+01 3.78127e-01
1.32730e+01 3.77814e-01
1.32892e+01 3.77507e-01
1.33054e+01 3.77205e-01
1.33217e+01 3.76908e-01
1.33380e+01 3.76615e-01
1.33543e+01 3.76326e-01
1.33706e+01 3.76041e-01
1.33869e+01 3.75761e-01
1.34033e+01 3.75485e-01
1.34196e+01 3.75213e-01
1.34360e+01 3.74947e-01
1.34524e+01 3.74684e-01
1.34689e+01 3.74427e-01
1.34853e+01 3.74175e-01
1.35018e+01 3.73928e-01
1.35183e+01 3.73686e-01
1.35348e+01 3.73450e-01
1.35513e+01 3.73219e-01
1.35679e+01 3.72994e-01
1.35844e+01 3.72774e-01
1.36010e+01 3.72561e-01
1.36177e+01 3.72353e-01
1.36343e+01 3.72151e-01
1.36509e+01 3.71956e-01
1.36676e+01 3.71767e-01
1.36843e+01 3.71585e-01
1.37010e+01 3.71409e-01
1.37178e+01 3.71240e-01
1.37345e+01 3.71077e-01
1.37513e+01 3.70922e-01
1.37681e+01 3.70774e-01
1.37849e+01 3.70633e-01
1.38017e+01 3.70500e-01
1.38186e+01 3.70374e-01
1.38355e+01 3.70256e-01
1.38524e+01 3.70145e-01
1.38693e+01 3.70043e-01
1.38862e+01 3.69949e-01
1.39032e+01 3.69862e-01
1.39202e+01 3.69785e-01
1.39372e+01 3.69715e-01
1.39542e+01 3.69655e-01
1.39713e+01 3.69603e-01
1.39883e+01 3.69560e-01
1.40054e+01 3.69526e-01
1.40225e+01 3.69502e-01
1.40396e+01 3.69486e-01
1.40568e+01 3.69481e-01
1.40740e+01 3.69484e-01
1.40912e+01 3.69498e-01
1.41084e+01 3.69522e-01
1.41256e+01 3.69556e-01
1.41429e+01 3.69600e-01
1.41601e+01 3.69654e-01
1.41774e+01 3.69719e-01
1.41947e+01 3.69795e-01
1.42121e+01 3.69881e-01
1.42294e+01 3.69979e-01
1.42468e+01 3.70088e-01
1.42642e+01 3.70208e-01
1.42817e+01 3.70340e-01
1.42991e+01 3.70483e-01
1.43166e+01 3.70638e-01
1.43340e+01 3.70805e-01
1.43516e+01 3.70984e-01
1.43691e+01 3.71176e-01
1.43866e+01 3.71380e-01
1.44042e+01 3.71597e-01
1.44218e+01 3.71826e-01
1.44394e+01 3.72069e-01
1.44571e+01 3.72324e-01
1.44747e+01 3.72593e-01
1.44924e+01 3.72876e-01
1.45101e+01 3.73172e-01
1.45278e+01 3.73482e-01
1.45456e+01 3.73806e-01
1.45633e+01 3.74144e-01
1.45811e+01 3.74496e-01
1.45989e+01 3.74863e-01
1.46168e+01 3.75245e-01
1.46346e+01 3.75641e-01
1.46525e+01 3.76053e-01
1.46704e+01 3.76480e-01
1.46883e+01 3.76922e-01
1.47063e+01 3.77380e-01
1.47242e+01 3.77854e-01
1.47422e+01 3.78344e-01
1.47602e+01 3.78850e-01
1.47782e+01 3.79372e-01
1.47963e+01 3.79910e-01
1.48144e+01 3.80463e-01
1.48325e+01 3.81032e-01
1.48506e+01 3.81617e-01
1.48687e+01 3.82216e-01
1.48869e+01 3.82831e-01
1.49051e+01 3.83460e-01
1.49233e+01 3.84104e-01
1.49415e+01 3.84762e-01
1.49598e+01 3.85435e-01
1.49780e+01 3.86121e-01
1.49963e+01 3.86821e-01
1.50146e+01 3.87534e-01
1.50330e+01 3.88261e-01
1.50513e+01 3.89001e-01
1.50697e+01 3.89754e-01
1.50881e+01 3.90520e-01
1.51066e+01 3.91298e-01
1.51250e+01 3.92088e-01
1.51435e+01 3.92891e-01
1.51620e+01 3.93705e-01
1.51805e+01 3.94531e-01
1.51990e+01 3.95368e-01
1.52176e+01 3.96217e-01
1.52362e+01 3.97076e-01
1.52548e+01 3.97946e-01
1.52734e+01 3.98826e-01
1.52921e+01 3.99717e-01
1.53108e+01 4.00618e-01
1.53295e+01 4.01528e-01
1.53482e+01 4.02448e-01
1.53670e+01 4.03377e-01
1.53857e+01 4.04316e-01
1.54045e+01 4.05263e-01
1.54233e+01 4.06218e-01
1.54422e+01 4.07182e-01
1.54610e+01 4.08154e-01
1.54799e+01 4.09134e-01
1.54988e+01 4.10121e-01
1.55178e+01 4.11116e-01
1.55367e+01 4.12118e-01
1.55557e+01 4.13126e-01
1.55747e+01 4.14141e-01
1.55937e+01 4.15162e-01
1.56128e+01 4.16189e-01
1.56318e+01 4.17222e-01
1.56509e+01 4.18260e-01
1.56700e+01 4.19303e-01
1.56892e+01 4.20352e-01
1.57084e+01 4.21405e-01
1.57275e+01 4.22462e-01
1.57467e+01 4.23523e-01
1.57660e+01 4.24588e-01
1.57852e+01 4.25657e-01
1.58045e+01 4.26728e-01
1.58238e+01 4.27803e-01
1.58432e+01 4.28880e-01
1.58625e+01 4.29960e-01
1.58819e+01 4.31041e-01
1.59013e+01 4.32125e-01
1.59207e+01 4.33209e-01
1.59402e+01 4.34295e-01
1.59596e+01 4.35382e-01
1.59791e+01 4.36469e-01
1.59986e+01 4.37556e-01
1.60182e+01 4.38644e-01
1.60377e+01 4.39731e-01
1.60573e+01 4.40817e-01
1.60769e+01 4.41902e-01
1.60966e+01 4.42985e-01
1.61162e+01 4.44067e-01
1.61359e+01 4.45147e-01
1.61556e+01 4.46225e-01
1.61754e+01 4.47300e-01
1.61951e+01 4.48372e-01
1.62149e+01 4.49440e-01
1.62347e+01 4.50505e-01
1.62546e+01 4.51566e-01
1.62744e+01 4.52622e-01
1.62943e+01 4.53674e-01
1.63142e+01 4.54720e-01
1.63341e+01 4.55762e-01
1.63541e+01 4.56797e-01
1.63740e+01 4.57826e-01
1.63940e+01 4.58849e-01
1.64141e+01 4.59865e-01
1.64341e+01 4.60874e-01
1.64542e+01 4.61875e-01
1.64743e+01 4.62869e-01
1.64944e+01 4.63854e-01
1.65146e+01 4.64830e-01
1.65347e+01 4.65798e-01
1.65549e+01 4.66755e-01
1.65751e+01 4.67703e-01
1.65954e+01 4.68641e-01
1.66157e+01 4.69569e-01
1.66360e+01 4.70485e-01
1.66563e+01 4.71390e-01
1.66766e+01 4.72283e-01
1.66970e+01 4.73165e-01
1.67174e+01 4.74033e-01
1.67378e+01 4.74889e-01
1.67583e+01 4.75731e-01
1.67787e+01 4.76560e-01
1.67992e+01 4.77374e-01
1.68197e+01 4.78174e-01
1.68403e+01 4.78959e-01
1.68609e+01 4.79728e-01
1.68815e+01 4.80482e-01
1.69021e+01 4.81220e-01
1.69227e+01 4.81942e-01
1.69434e+01 4.82647e-01
1.69641e+01 4.83338e-01
1.69848e+01 4.84012e-01
1.70056e+01 4.84670e-01
1.70263e+01 4.85312e-01
1.70471e+01 4.85938e-01
1.70679e+01 4.86548e-01
1.70888e+01 4.87142e-01
1.71097e+01 4.87720e-01
1.71306e+01 4.88282e-01
1.71515e+01 4.88828e-01
1.71724e+01 4.89358e-01
1.71934e+01 4.89872e-01
1.72144e+01 4.90370e-01
1.72354e+01 4.90851e-01
1.72565e+01 4.91317e-01
1.72776e+01 4.91766e-01
1.72987e+01 4.92200e-01
1.73198e+01 4.92617e-01
1.73410e+01 4.93018e-01
1.73621e+01 4.93402e-01
1.73834e+01 4.93771e-01
1.74046e+01 4.94123e-01
1.74258e+01 4.94460e-01
1.74471e+01 4.94780e-01
1.74684e+01 4.95083e-01
1.74898e+01 4.95371e-01
1.75111e+01 4.95642e-01
1.75325e+01 4.95898e-01
1.75539e+01 4.96136e-01
1.75754e+01 4.96359e-01
1.75969e+01 4.96565e-01
1.76184e+01 4.96755e-01
1.76399e+01 4.96929e-01
1.76614e+01 4.97086e-01
1.76830e+01 4.97228e-01
1.77046e+01 4.97352e-01
1.77262e+01 4.97461e-01
1.77479e+01 4.97553e-01
1.77695e+01 4.97629e-01
1.77913e+01 4.97689e-01
1.78130e+01 4.97732e-01
1.78347e+01 4.97759e-01
1.78565e+01 4.97769e-01
1.78783e+01 4.97763e-01
1.79002e+01 4.97741e-01
1.79220e+01 4.97702e-01
1.79439e+01 4.97647e-01
1.79658e+01 4.97576e-01
1.79878e+01 4.97488e-01
1.80098e+01 4.97384e-01
1.80318e+01 4.97264e-01
1.80538e+01 4.97127e-01
1.80758e+01 4.96973e-01
1.80979e+01 4.96804e-01
1.81200e+01 4.96618e-01
1.81422e+01 4.96415e-01
1.81643e+01 4.96196e-01
1.81865e+01 4.95961e-01
1.82087e+01 4.95709e-01
1.82310e+01 4.95441e-01
1.82532e+01 4.95156e-01
1.82755e+01 4.94855e-01
1.82979e+01 4.94538e-01
1.83202e+01 4.94204e-01
1.83426e+01 4.93854e-01
1.83650e+01 4.93487e-01
1.83874e+01 4.93104e-01
1.84099e+01 4.92704e-01
1.84324e+01 4.92288e-01
1.84549e+01 4.91856e-01
1.84774e+01 4.91407e-01
1.85000e+01 4.90942e-01
1.85226e+01 4.90461e-01
1.85452e+01 4.89963e-01
1.85679e+01 4.89448e-01
1.85905e+01 4.88917e-01
1.86133e+01 4.88370e-01
1.86360e+01 4.87807e-01
1.86588e+01 4.87227e-01
1.86815e+01 4.86630e-01
1.87044e+01 4.86017e-01
1.87272e+01 4.85388e-01
1.87501e+01 4.84743e-01
1.87730e+01 4.84081e-01
1.87959e+01 4.83404e-01
1.88189e+01 4.82711e-01
1.88419e+01 4.82002e-01
1.88649e+01 4.81279e-01
1.88879e+01 4.80541e-01
1.89110e+01 4.79789e-01
1.89341e+01 4.79022e-01
1.89572e+01 4.78242e-01
1.89804e+01 4.77447e-01
1.90036e+01 4.76640e-01
1.90268e+01 4.75820e-01
1.90500e+01 4.74987e-01
1.90733e+01 4.74141e-01
1.90966e+01 4.73283e-01
1.91199e+01 4.72414e-01
1.91433e+01 4.71533e-01
1.91666e+01 4.70641e-01
1.91901e+01 4.69738e-01
1.92135e+01 4.68824e-01
1.92370e+01 4.67901e-01
1.92605e+01 4.66967e-01
1.92840e+01 4.66024e-01
1.93075e+01 4.65071e-01
1.93311e+01 4.64109e-01
1.93547e+01 4.63139e-01
1.93784e+01 4.62160e-01
1.94020e+01 4.61174e-01
1.94257e+01 4.60180e-01
1.94495e+01 4.59178e-01
1.94732e+01 4.58170e-01
1.94970e+01 4.57154e-01
1.95208e+01 4.56133e-01
1.95447e+01 4.55106e-01
1.95686e+01 4.54073e-01
1.95925e+01 4.53035e-01
1.96164e+01 4.51992e-01
1.96403e+01 4.50944e-01
1.96643e+01 4.49893e-01
1.96884e+01 4.48837e-01
1.97124e+01 4.47778e-01
1.97365e+01 4.46716e-01
1.97606e+01 4.45652e-01
1.97847e+01 4.44585e-01
1.98089e+01 4.43516e-01
1.98331e+01 4.42446e-01
1.98573e+01 4.41375e-01
1.98816e+01 4.40302e-01
1.99059e+01 4.39230e-01
1.99302e+01 4.38157e-01
1.99545e+01 4.37085e-01
1.99789e+01 4.36014e-01
2.00033e+01 4.34963e-01
2.00277e+01 4.34035e-01
2.00522e+01 4.33106e-01
2.00767e+01 4.32177e-01
2.01012e+01 4.31249e-01
2.01258e+01 4.30322e-01
2.01503e+01 4.29396e-01
2.01750e+01 4.28472e-01
2.01996e+01 4.27550e-01
2.02243e+01 4.26631e-01
2.02490e+01 4.25714e-01
2.02737e+01 4.24801e-01
2.02985e+01 4.23892e-01
2.03233e+01 4.22986e-01
2.03481e+01 4.22086e-01
2.03729e+01 4.21190e-01
2.03978e+01 4.20299e-01
2.04227e+01 4.19413e-01
2.04477e+01 4.18534e-01
2.04727e+01 4.17661e-01
2.04977e+01 4.16794e-01
2.05227e+01 4.15934e-01
2.05478e+01 4.15081e-01
2.05729e+01 4.14234e-01
2.05980e+01 4.13393e-01
2.06232e+01 4.12558e-01
2.06484e+01 4.11729e-01
2.06736e+01 4.10905e-01
2.06988e+01 4.10086e-01
2.07241e+01 4.09272e-01
2.07494e+01 4.08462e-01
2.07748e+01 4.07657e-01
2.08002e+01 4.06855e-01
2.08256e+01 4.06057e-01
2.08510e+01 4.05263e-01
2.08765e+01 4.04471e-01
2.09020e+01 4.03683e-01
2.09275e+01 4.02897e-01
2.09531e+01 4.02114e-01
2.09787e+01 4.01332e-01
2.10043e+01 4.00553e-01
2.10299e+01 3.99775e-01
2.10556e+01 3.98999e-01
2.10813e+01 3.98223e-01
2.11071e+01 3.97449e-01
2.11329e+01 3.96676e-01
2.11587e+01 3.95903e-01
2.11845e+01 3.95130e-01
2.12104e+01 3.94357e-01
2.12363e+01 3.93584e-01
2.12623e+01 3.92811e-01
2.12882e+01 3.92037e-01
2.13142e+01 3.91262e-01
2.13403e+01 3.90486e-01
2.13663e+01 3.89710e-01
2.13924e+01 3.88931e-01
2.14186e+01 3.88151e-01
2.14447e+01 3.87370e-01
2.14709e+01 3.86586e-01
2.14971e+01 3.85800e-01
2.15234e+01 3.85012e-01
2.15497e+01 3.84222e-01
2.15760e+01 3.83428e-01
2.16024e+01 3.82632e-01
2.16288e+01 3.81833e-01
2.16552e+01 3.81031e-01
2.16816e+01 3.80226e-01
2.17081e+01 3.79417e-01
2.17346e+01 3.78605e-01
2.17612e+01 3.77789e-01
2.17878e+01 3.76969e-01
2.18144e+01 3.76145e-01
2.18410e+01 3.75317e-01
2.18677e+01 3.74485e-01
2.18944e+01 3.73649e-01
2.19211e+01 3.72809e-01
2.19479e+01 3.71963e-01
2.19747e+01 3.71114e-01
2.20016e+01 3.70259e-01
2.20284e+01 3.69400e-01
2.20554e+01 3.68536e-01
2.20823e+01 3.67667e-01
2.21093e+01 3.66794e-01
2.21363e+01 3.65915e-01
2.21633e+01 3.65031e-01
2.21904e+01 3.64142e-01
2.22175e+01 3.63247e-01
2.22446e+01 3.62348e-01
2.22718e+01 3.61443e-01
2.22990e+01 3.60533e-01
2.23262e+01 3.59618e-01
2.23535e+01 3.58698e-01
2.23808e+01 3.57773e-01
2.24081e+01 3.56844e-01
2.24355e+01 3.55911e-01
2.24629e+01 3.54974e-01
2.24904e+01 3.54034e-01
2.25178e+01 3.53089e-01
2.25453e+01 3.52142e-01
2.25729e+01 3.51192e-01
2.26004e+01 3.50239e-01
2.26281e+01 3.49283e-01
2.26557e+01 3.48325e-01
2.26834e+01 3.47365e-01
2.27111e+01 3.46404e-01
2.27388e+01 3.45440e-01
2.27666e+01 3.44475e-01
2.27944e+01 3.43509e-01
2.28222e+01 3.42542e-01
2.28501e+01 3.41574e-01
2.28780e+01 3.40605e-01
2.29060e+01 3.39635e-01
2.29340e+01 3.38666e-01
2.29620e+01 3.37696e-01
2.29900e+01 3.36727e-01
2.30181e+01 3.35757e-01
2.30462e+01 3.34788e-01
2.30744e+01 3.33820e-01
2.31025e+01 3.32852e-01
2.31308e+01 3.31885e-01
2.31590e+01 3.30920e-01
2.31873e+01 3.29955e-01
2.32156e+01 3.28992e-01
2.32440e+01 3.28030e-01
2.32724e+01 3.27070e-01
2.33008e+01 3.26112e-01
2.33293e+01 3.25156e-01
2.33578e+01 3.24201e-01
2.33863e+01 3.23249e-01
2.34149e+01 3.22299e-01
2.34435e+01 3.21351e-01
2.34721e+01 3.20406e-01
2.35008e+01 3.19463e-01
2.35295e+01 3.18523e-01
2.35582e+01 3.17586e-01
2.35870e+01 3.16652e-01
2.36158e+01 3.15720e-01
2.36446e+01 3.14792e-01
2.36735e+01 3.13866e-01
2.37024e+01 3.12944e-01
2.37314e+01 3.12025e-01
2.37604e+01 3.11109e-01
2.37894e+01 3.10197e-01
2.38185e+01 3.09287e-01
2.38476e+01 3.08382e-01
2.38767e+01 3.07479e-01
2.39059e+01 3.06580e-01
2.39351e+01 3.05685e-01
2.39643e+01 3.04793e-01
2.39936e+01 3.03904e-01
2.40229e+01 3.03019e-01
2.40522e+01 3.02138e-01
2.40816e+01 3.01260e-01
2.41110e+01 3.00385e-01
2.41405e+01 2.99514e-01
2.41699e+01 2.98647e-01
2.41995e+01 2.97782e-01
2.42290e+01 2.96921e-01
2.42586e+01 2.96064e-01
2.42883e+01 2.95209e-01
2.43179e+01 2.94357e-01
2.43476e+01 2.93509e-01
2.43774e+01 2.92663e-01
2.44071e+01 2.91820e-01
2.44370e+01 2.90979e-01
2.44668e+01 2.90142e-01
2.44967e+01 2.89306e-01
2.45266e+01 2.88474e-01
2.45566e+01 2.87644e-01
2.45866e+01 2.86816e-01
2.46166e+01 2.85990e-01
2.46467e+01 2.85167e-01
2.46768e+01 2.84345e-01
2.47069e+01 2.83526e-01
2.47371e+01 2.82709e-01
2.47673e+01 2.81894e-01
2.47976e+01 2.81081e-01
2.48278e+01 2.80270e-01
2.48582e+01 2.79460e-01
2.48885e+01 2.78653e-01
2.49189e+01 2.77847e-01
2.49494e+01 2.77042e-01
2.49799e+01 2.76240e-01
2.50104e+01 2.75446e-01
2.50409e+01 2.74671e-01
2.50715e+01 2.73897e-01
2.51021e+01 2.73126e-01
2.51328e+01 2.72357e-01
2.51635e+01 2.71590e-01
2.51942e+01 2.70825e-01
2.52250e+01 2.70063e-01
2.52558e+01 2.69303e-01
2.52867e+01 2.68545e-01
2.53175e+01 2.67789e-01
2.53485e+01 2.67036e-01
2.53794e+01 2.66284e-01
2.54104e+01 2.65535e-01
2.54415e+01 2.64788e-01
2.54725e+01 2.64044e-01
2.55037e+01 2.63301e-01
2.55348e+01 2.62561e-01
2.55660e+01 2.61823e-01
2.55972e+01 2.61086e-01
2.56285e+01 2.60353e-01
2.56598e+01 2.59621e-01
2.56911e+01 2.58891e-01
2.57225e+01 2.58164e-01
2.57539e+01 2.57438e-01
2.57854e+01 2.56715e-01
2.58169e+01 2.55994e-01
2.58484e+01 2.55275e-01
2.58800e+01 2.54558e-01
2.59116e+01 2.53843e-01
2.59433e+01 2.53130e-01
2.59750e+01 2.52419e-01
2.60067e+01 2.51711e-01
2.60385e+01 2.51004e-01
2.60703e+01 2.50299e-01
2.61021e+01 2.49597e-01
2.61340e+01 2.48897e-01
2.61659e+01 2.48198e-01
2.61979e+01 2.47502e-01
2.62299e+01 2.46807e-01
2.62619e+01 2.46115e-01
2.62940e+01 2.45425e-01
2.63261e+01 2.44737e-01
2.63583e+01 2.44050e-01
2.63905e+01 2.43366e-01
2.64227e+01 2.42684e-01
2.64550e+01 2.42003e-01
2.64873e+01 2.41325e-01
2.65196e+01 2.40649e-01
2.65520e+01 2.39974e-01
2.65845e+01 2.39302e-01
2.66169e+01 2.38631e-01
2.66494e+01 2.37963e-01
2.66820e+01 2.37296e-01
2.67146e+01 2.36632e-01
2.67472e+01 2.35969e-01
2.67799e+01 2.35308e-01
