lambda      alk
6.37487e-01 8.72617e+00
6.38265e-01 8.71070e+00
6.39045e-01 8.69525e+00
6.39825e-01 8.67981e+00
6.40607e-01 8.66439e+00
6.41389e-01 8.64900e+00
6.42173e-01 8.63362e+00
6.42957e-01 8.61826e+00
6.43743e-01 8.60292e+00
6.44529e-01 8.58760e+00
6.45316e-01 8.57229e+00
6.46105e-01 8.55701e+00
6.46894e-01 8.54175e+00
6.47684e-01 8.52650e+00
6.48475e-01 8.51127e+00
6.49267e-01 8.49607e+00
6.50060e-01 8.48088e+00
6.50854e-01 8.46571e+00
6.51649e-01 8.45056e+00
6.52445e-01 8.43543e+00
6.53242e-01 8.42031e+00
6.54040e-01 8.40522e+00
6.54839e-01 8.39014e+00
6.55639e-01 8.37509e+00
6.56440e-01 8.36005e+00
6.57241e-01 8.34503e+00
6.58044e-01 8.33003e+00
6.58848e-01 8.31504e+00
6.59653e-01 8.30008e+00
6.60459e-01 8.28514e+00
6.61265e-01 8.27021e+00
6.62073e-01 8.25530e+00
6.62882e-01 8.24041e+00
6.63691e-01 8.22554e+00
6.64502e-01 8.21069e+00
6.65314e-01 8.19585e+00
6.66126e-01 8.18104e+00
6.66940e-01 8.16624e+00
6.67755e-01 8.15146e+00
6.68570e-01 8.13670e+00
6.69387e-01 8.12195e+00
6.70205e-01 8.10723e+00
6.71023e-01 8.09252e+00
6.71843e-01 8.07783e+00
6.72664e-01 8.06316e+00
6.73485e-01 8.04850e+00
6.74308e-01 8.03387e+00
6.75132e-01 8.01925e+00
6.75956e-01 8.00465e+00
6.76782e-01 7.99007e+00
6.77609e-01 7.97550e+00
6.78436e-01 7.96095e+00
6.79265e-01 7.94643e+00
6.80095e-01 7.93191e+00
6.80925e-01 7.91742e+00
6.81757e-01 7.90294e+00
6.82590e-01 7.88848e+00
6.83424e-01 7.87404e+00
6.84258e-01 7.85961e+00
6.85094e-01 7.84521e+00
6.85931e-01 7.83081e+00
6.86769e-01 7.81644e+00
6.87608e-01 7.80208e+00
6.88448e-01 7.78774e+00
6.89289e-01 7.77342e+00
6.90130e-01 7.75912e+00
6.90973e-01 7.74483e+00
6.91817e-01 7.73055e+00
6.92662e-01 7.71630e+00
6.93509e-01 7.70206e+00
6.94356e-01 7.68784e+00
6.95204e-01 7.67363e+00
6.96053e-01 7.65944e+00
6.96903e-01 7.64527e+00
6.97754e-01 7.63111e+00
6.98607e-01 7.61697e+00
6.99460e-01 7.60284e+00
7.00314e-01 7.58874e+00
7.01170e-01 7.57464e+00
7.02026e-01 7.56057e+00
7.02884e-01 7.54650e+00
7.03742e-01 7.53246e+00
7.04602e-01 7.51843e+00
7.05463e-01 7.50442e+00
7.06324e-01 7.49042e+00
7.07187e-01 7.47643e+00
7.08051e-01 7.46247e+00
7.08916e-01 7.44851e+00
7.09782e-01 7.43458e+00
7.10649e-01 7.42065e+00
7.11517e-01 7.40675e+00
7.12386e-01 7.39286e+00
7.13256e-01 7.37898e+00
7.14127e-01 7.36512e+00
7.14999e-01 7.35127e+00
7.15873e-01 7.33743e+00
7.16747e-01 7.32362e+00
7.17623e-01 7.30981e+00
7.18499e-01 7.29602e+00
7.19377e-01 7.28225e+00
7.20256e-01 7.26848e+00
7.21135e-01 7.25474e+00
7.22016e-01 7.24100e+00
7.22898e-01 7.22728e+00
7.23781e-01 7.21358e+00
7.24665e-01 7.19988e+00
7.25550e-01 7.18621e+00
7.26437e-01 7.17254e+00
7.27324e-01 7.15889e+00
7.28212e-01 7.14525e+00
7.29102e-01 7.13162e+00
7.29992e-01 7.11801e+00
7.30884e-01 7.10441e+00
7.31777e-01 7.09082e+00
7.32671e-01 7.07725e+00
7.33566e-01 7.06369e+00
7.34462e-01 7.05014e+00
7.35359e-01 7.03660e+00
7.36257e-01 7.02307e+00
7.37156e-01 7.00956e+00
7.38057e-01 6.99606e+00
7.38958e-01 6.98257e+00
7.39861e-01 6.96910e+00
7.40765e-01 6.95563e+00
7.41669e-01 6.94218e+00
7.42575e-01 6.92873e+00
7.43482e-01 6.91530e+00
7.44391e-01 6.90188e+00
7.45300e-01 6.88847e+00
7.46210e-01 6.87507e+00
7.47122e-01 6.86169e+00
7.48034e-01 6.84831e+00
7.48948e-01 6.83494e+00
7.49863e-01 6.82159e+00
7.50779e-01 6.80824e+00
7.51696e-01 6.79490e+00
7.52614e-01 6.78158e+00
7.53533e-01 6.76826e+00
7.54454e-01 6.75496e+00
7.55375e-01 6.74166e+00
7.56298e-01 6.72837e+00
7.57222e-01 6.71509e+00
7.58147e-01 6.70182e+00
7.59073e-01 6.68856e+00
7.60000e-01 6.67531e+00
7.60928e-01 6.66207e+00
7.61858e-01 6.64884e+00
7.62788e-01 6.63561e+00
7.63720e-01 6.62240e+00
7.64653e-01 6.60919e+00
7.65587e-01 6.59600e+00
7.66522e-01 6.58281e+00
7.67458e-01 6.56963e+00
7.68396e-01 6.55646e+00
7.69334e-01 6.54330e+00
7.70274e-01 6.53015e+00
7.71215e-01 6.51701e+00
7.72157e-01 6.50388e+00
7.73100e-01 6.49076e+00
7.74044e-01 6.47765e+00
7.74990e-01 6.46454e+00
7.75936e-01 6.45145e+00
7.76884e-01 6.43837e+00
7.77833e-01 6.42529e+00
7.78783e-01 6.41223e+00
7.79735e-01 6.39917e+00
7.80687e-01 6.38612e+00
7.81641e-01 6.37309e+00
7.82595e-01 6.36006e+00
7.83551e-01 6.34704e+00
7.84508e-01 6.33403e+00
7.85467e-01 6.32103e+00
7.86426e-01 6.30804e+00
7.87387e-01 6.29506e+00
7.88348e-01 6.28209e+00
7.89311e-01 6.26913e+00
7.90275e-01 6.25618e+00
7.91241e-01 6.24324e+00
7.92207e-01 6.23031e+00
7.93175e-01 6.21738e+00
7.94144e-01 6.20447e+00
7.95114e-01 6.19157e+00
7.96085e-01 6.17867e+00
7.97057e-01 6.16579e+00
7.98031e-01 6.15291e+00
7.99006e-01 6.14005e+00
7.99982e-01 6.12719e+00
8.00959e-01 6.11435e+00
8.01937e-01 6.10151e+00
8.02917e-01 6.08869e+00
8.03898e-01 6.07587e+00
8.04879e-01 6.06306e+00
8.05863e-01 6.05027e+00
8.06847e-01 6.03748e+00
8.07832e-01 6.02470e+00
8.08819e-01 6.01193e+00
8.09807e-01 5.99918e+00
8.10796e-01 5.98643e+00
8.11787e-01 5.97369e+00
8.12778e-01 5.96096e+00
8.13771e-01 5.94824e+00
8.14765e-01 5.93553e+00
8.15760e-01 5.92283e+00
8.16757e-01 5.91014e+00
8.17754e-01 5.89746e+00
8.18753e-01 5.88479e+00
8.19753e-01 5.87213e+00
8.20755e-01 5.85948e+00
8.21757e-01 5.84684e+00
8.22761e-01 5.83421e+00
8.23766e-01 5.82159e+00
8.24772e-01 5.80898e+00
8.25780e-01 5.79638e+00
8.26788e-01 5.78379e+00
8.27798e-01 5.77121e+00
8.28809e-01 5.75863e+00
8.29822e-01 5.74607e+00
8.30835e-01 5.73352e+00
8.31850e-01 5.72098e+00
8.32866e-01 5.70845e+00
8.33883e-01 5.69592e+00
8.34902e-01 5.68341e+00
8.35922e-01 5.67091e+00
8.36943e-01 5.65841e+00
8.37965e-01 5.64593e+00
8.38989e-01 5.63346e+00
8.40014e-01 5.62099e+00
8.41040e-01 5.60854e+00
8.42067e-01 5.59610e+00
8.43096e-01 5.58366e+00
8.44125e-01 5.57124e+00
8.45156e-01 5.55882e+00
8.46189e-01 5.54642e+00
8.47222e-01 5.53402e+00
8.48257e-01 5.52164e+00
8.49293e-01 5.50926e+00
8.50331e-01 5.49690e+00
8.51369e-01 5.48454e+00
8.52409e-01 5.47219e+00
8.53451e-01 5.45986e+00
8.54493e-01 5.44753e+00
8.55537e-01 5.43521e+00
8.56582e-01 5.42291e+00
8.57628e-01 5.41061e+00
8.58676e-01 5.39832e+00
8.59724e-01 5.38604e+00
8.60775e-01 5.37378e+00
8.61826e-01 5.36152e+00
8.62879e-01 5.34927e+00
8.63933e-01 5.33703e+00
8.64988e-01 5.32480e+00
8.66045e-01 5.31258e+00
8.67102e-01 5.30037e+00
8.68162e-01 5.28817e+00
8.69222e-01 5.27598e+00
8.70284e-01 5.26380e+00
8.71347e-01 5.25163e+00
8.72411e-01 5.23947e+00
8.73477e-01 5.22731e+00
8.74544e-01 5.21517e+00
8.75612e-01 5.20304e+00
8.76681e-01 5.19092e+00
8.77752e-01 5.17882e+00
8.78824e-01 5.16672e+00
8.79898e-01 5.15463e+00
8.80973e-01 5.14256e+00
8.82049e-01 5.13050e+00
8.83126e-01 5.11845e+00
8.84205e-01 5.10641e+00
8.85285e-01 5.09438e+00
8.86366e-01 5.08237e+00
